,RESDATE,RESCOL,BIDCITY,MONTH,PSTALP,BSTATUS,FAILMON,PO_COST,COST21,BSTATDT,COST20,TERMDATE,BIDNAME,RESTYPE_II,FAILDATE,RESTYPE1,CHCLASS1,FSL_PROG,BRCERT,CERT,BRDOCKET,COST07,COST08,COST09,L_REPDTE,FRAUD,COST03,COST04,COST05,COST06,RSSDID,COMMENTS,BIDCERT,COSTMOSTRECENTASOF,QBRASSET,URL,RESLOS,MONTHTXT,QBFASSET,QBFEQ,TXHC,QBREQ,COST00,COST01,BIDDOCK,COST02,COST18,COST19,RESCOST,ATFIN,COST14,COST15,COST16,COST17,CITY,R_UPDATE,FAILTXT,COST10,COST98,COST11,COST99,COST12,COST13,COST95,DAY,COST96,COST97,QBFDEP,CLOSCD,FIN2,RESEQ,RESTYPE,CITYST,RESDEP,RESPUT,PTRDATE,COSTMOSTRECENT,FAILDAY,INCTDT,TERMI,FAILYR,DOCKET,RESABAL,RESTYPE_OLD,BANKNO,RESPASS,SAVR,NAME,LOSSSHARE,FAILQTR,tagpal,BRDATE,BIDSTATE,CROSSS,OBA,COST,UNINSDEP,RESASSET,difal,CHCLASS,FUND,RESADJ,FIN,QBRDEP,CROSS,ID,REGION
0,,,,6,WI,,,,,,0,,,,6/4/1935,PO,NM,,,,,0,0,0,,,0,0,0,0,,,,,,na,,Jun,891.0,,,,0,0,,0,,,,,,,,,WEST MILWAUKEE,,6/4/1935,0,0,0,0,0,0,0,4,0,0,718.0,,,,FAILURE,"WEST MILWAUKEE, WI",,,,,6/4/2022,,,1935,,,PO,,,BIF,ANCHOR STATE BANK,,,,,,,,,,,,NM,1,,0,,,1,Midwest
1,,,,11,TX,,,,,,0,,,,11/18/1935,PO,NM,,,,,0,0,0,,,0,0,0,0,,,,,,na,,Nov,73.0,,,,0,0,,0,,,,,,,,,PRESIDIO,,11/18/1935,0,0,0,0,0,0,0,18,0,0,49.0,,,,FAILURE,"PRESIDIO, TX",,,,,11/18/2022,,,1935,,,PO,,,BIF,PRESIDIO VALLEY BANK,,,,,,,,,,,,NM,1,,0,,,10,South
2,,,,4,SD,,,,,,0,,,,4/30/1937,PO,NM,,,,,0,0,0,,,0,0,0,0,,,,,,na,,Apr,81.0,,,,0,0,,0,,,,,,,,,ST. ONGE,,4/30/1937,0,0,0,0,0,0,0,30,0,0,61.0,,,,FAILURE,"ST. ONGE, SD",,,,,4/30/2022,,,1937,,,PO,,,BIF,ST. ONGE STATE BANK,,,,,,,,,,,,NM,1,,0,,,100,Midwest
3,5/31/1985,7758,LINCOLN,,NE,I,5,,1653,6/1/1990,1653,1/1/1989,UNION BANK&TRUST CO,,5/31/1985,PA,NM,,,13797.0,,1653,1653,1653,3/31/1985,,1653,1653,1653,1653,572758,,13421,30-Nov-22,14542,na,3801,,14542.0,885,0,885,1653,1653,,1653,1653,1653,,,1653,1653,1653,1653,TAYLOR,1/31/2022,,1653,1653,1653,1653,1653,1653,1653.2499,,1653.24991,1653,13360.0,PASAN,2466,0,FAILURE,"TAYLOR, NE",0,0,,1653,,5/31/1985,T,1985,,0,,,0,BIF,BANK OF TAYLOR,0,2,,,NE,,0,1653.0,,11558.10874,,NM,1,0,2466,13360,0,1000,Midwest
4,5/31/1985,4527,,,NE,I,5,,1656,11/1/1993,1656,5/1/1989,,,5/31/1985,PO,NM,,,18388.0,,1656,1656,1656,3/31/1985,,1656,1656,1656,1656,1017050,,,30-Nov-22,6795,na,2502,,6795.0,714,0,714,1656,1656,,1656,1656,1656,,,1656,1656,1656,1656,FAIRFIELD,1/31/2022,,1656,1656,1656,1656,1656,1656,1656.262,,1656.26196,1656,6034.0,POSAA,6571,0.0001,FAILURE,"FAIRFIELD, NE",5303.79718,0,,1656,,5/31/1985,T,1985,,0,,,0,BIF,FAIRFIELD STATE BANK,0,2,,,,,0,1656.0,,7029.14458,,NM,1,0,6571,6034,0,1001,Midwest
5,5/31/1985,2797,GUIDE ROCK,,NE,I,5,,1118,6/1/1990,1118,1/1/1989,GUIDE ROCK STATE BANK,,5/31/1985,PA,NM,,,18738.0,,1118,1118,1118,3/31/1985,,1118,1118,1118,1118,251754,,11469,30-Nov-22,6570,na,1712,,6570.0,453,0,453,1118,1118,,1118,1118,1118,,,1118,1118,1118,1118,EDGAR,1/31/2022,,1118,1118,1118,1118,1118,1118,1118.2847,,1118.28466,1118,6072.0,PASAN,2469,0,FAILURE,"EDGAR, NE",0,0,,1118,,5/31/1985,T,1985,,0,,,0,BIF,SECURITY STATE BANK,0,2,,,NE,,0,1118.0,,4511.63978,,NM,1,-3,2469,6072,0,1002,Midwest
6,5/31/1985,2370,,,NE,I,5,,165,12/31/1989,165,12/1/1988,,,5/31/1985,PO,NM,,,19117.0,,165,165,165,3/31/1985,,165,165,165,165,584359,,,30-Nov-22,3552,na,898,,3552.0,287,0,287,165,165,,165,165,165,,,165,165,165,165,OAK,1/31/2022,,165,165,165,165,165,165,165.372,,165.372,165,3219.0,POSAA,6570,2.5313,FAILURE,"OAK, NE",2950.95045,0,,165,,5/31/1985,T,1985,,0,,,0,BIF,SCROGGIN & COMPANY BANK,0,2,,,,,0,165.0,,3259.80774,,NM,1,9,6570,3219,0,1003,Midwest
7,4/10/1987,,LOS ANGELES,,CA,,5,331243,327146,,327146,,COAST S&LA,,5/31/1985,A/A,SL,MCP-C,30965,30965.0,6186,327146,327146,327146,3/31/1985,,327146,327146,327146,327146,780777,,31477,30-Nov-22,2308903,na,,,2308903.0,-115891,,-115891,315745,327146,7046,327146,327146,327146,,1706,327146,327146,327146,327146,SAN DIEGO,,,327146,327146,327146,327146,327146,327146,327145,,327146,327146,1680711.0,,1706,,ASSISTANCE,"SAN DIEGO, CA",,,,327146,,,,1985,6186,,,,,FSLIC,CENTRAL S&LA,0,2,,5/31/1985,CA,,1,327146.0,,,,SL,3,,1706,1680711,,1004,West
8,4/30/1987,,LOS ANGELES,,CA,,6,238340,223825,,223825,,SOUTHERN CALIFORNIA FS&LA,,6/6/1985,A/A,SL,MCP-C,32433,28621.0,8258,223825,223825,223825,3/31/1985,,223825,223825,223825,223825,337078,,32433,30-Nov-22,1492644,na,,,1492644.0,-3107,,-3107,224173,223825,8258,223825,223825,223825,,1707,223825,223825,223825,223825,BEVERLY HILLS,,,223825,223825,223825,223825,223825,223825,223882,,223825,223825,1263750.0,,1707,,ASSISTANCE,"BEVERLY HILLS, CA",,,,223825,,,,1985,1971,,,,,FSLIC,SOUTHERN CALIFORNIA  S&LA,0,2,,6/6/1985,CA,,1,223825.0,,,,SL,3,,1707,1263750,,1005,West
9,6/7/1985,,,,TN,,6,10373,3638,,3638,,,,6/7/1985,PO,SL,,,31323.0,,3638,3638,3638,3/31/1985,,3638,3638,3638,3638,387970,,,30-Nov-22,22747,na,,,22747.0,-507,,-507,3638,3638,,3638,3638,3638,10373,,3638,3638,3638,3638,NASHVILLE,,,3638,3638,3638,3638,3638,3638,3637.7,,3637.7,3638,18798.0,,,,FAILURE,"NASHVILLE, TN",,,,3638,,,,1985,6733,,,,,FSLIC,COMMUNITY FS&LA,0,2,,,,,0,3638.0,,,,SL,3,,0,18798,,1006,South
